VCD info: dumpfile dump.vcd opened for output.
timestamp,moisture_raw,nutrient_raw,temp_raw,moisture_avg,nutrient_avg,temp_avg,pump_on,dose_nutrient,alert_nutrient,alert_weed,alert_heat,alert_frost,alert_anomaly,status,crop_health,relocate_recommend
0,80,59,24,10,7,3,1,1,1,0,0,1,0,2,27,1
1,79,61,25,19,15,6,1,1,1,0,0,1,0,2,27,1
2,80,59,24,30,22,9,1,1,1,0,0,1,0,2,27,1
3,79,60,25,40,30,12,1,1,1,0,0,0,0,1,80,0
4,81,59,24,50,37,15,1,1,1,0,0,0,0,1,80,0
5,79,60,25,60,45,18,1,1,1,0,0,0,0,1,80,0
6,80,59,24,70,52,21,1,0,0,0,0,0,0,0,100,0
7,79,60,25,79,60,25,0,0,0,0,0,0,0,0,100,0
8,80,59,24,79,59,25,0,0,0,0,0,0,0,0,100,0
9,79,60,25,80,59,25,0,0,0,0,0,0,0,0,100,0
10,80,59,24,80,59,24,0,0,0,0,0,0,0,0,100,0
11,79,61,25,79,60,24,0,0,0,0,0,0,0,0,100,0
12,80,59,24,79,60,25,0,0,0,0,0,0,0,0,100,0
13,79,60,25,79,60,25,0,0,0,0,0,0,0,0,100,0
14,81,59,24,80,59,24,0,0,0,0,0,0,0,0,100,0
15,79,60,25,80,59,24,0,0,0,0,0,0,0,0,100,0
16,80,59,24,80,60,24,0,0,0,0,0,0,0,0,100,0
17,79,60,25,79,60,25,0,0,0,0,0,0,0,0,100,0
18,80,59,24,79,59,25,0,0,0,0,0,0,0,0,100,0
19,79,60,25,80,59,25,0,0,0,0,0,0,0,0,100,0
20,80,59,24,80,59,24,0,0,0,0,0,0,0,0,100,0
21,77,61,25,79,60,24,0,0,0,0,0,0,0,0,100,0
22,74,59,24,78,60,25,0,0,0,0,0,0,0,0,100,0
23,71,60,25,77,60,25,0,0,0,0,0,0,0,0,100,0
24,68,59,24,76,59,24,0,0,0,0,0,0,0,0,100,0
25,66,60,25,74,59,24,0,0,0,0,0,0,0,0,100,0
26,63,59,24,72,60,24,0,0,0,0,0,0,0,0,100,0
27,60,60,25,70,60,25,0,0,0,0,0,0,0,0,100,0
28,57,59,24,67,59,25,0,0,0,0,0,0,0,0,100,0
29,54,60,25,64,59,25,0,0,0,0,0,0,0,0,100,0
30,52,59,24,61,59,24,0,0,0,0,0,0,0,0,100,0
31,49,61,25,59,60,24,0,0,0,0,0,0,0,0,100,0
32,46,59,24,56,60,25,0,0,0,0,0,0,0,0,100,0
33,43,60,25,53,60,25,0,0,0,0,0,0,0,0,100,0
34,40,59,24,50,59,24,0,0,0,0,0,0,0,0,100,0
35,38,60,25,47,59,24,0,0,0,0,0,0,0,0,100,0
36,35,59,24,45,60,24,0,0,0,0,0,0,0,0,100,0
37,32,60,25,42,60,25,0,0,0,0,0,0,0,0,100,0
38,29,59,24,39,59,25,1,0,0,0,0,0,0,1,76,0
39,26,60,25,36,59,25,1,0,0,0,0,0,0,1,76,0
40,60,59,24,38,59,24,1,0,0,0,0,0,0,1,76,0
